elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
51.282,1.87E-07,1.87E-07,10.087
51.547,1.87E-07,1.87E-07,11.516
51.797,1.87E-07,1.87E-07,10.74
52.063,1.90E-07,1.90E-07,10.567
52.329,1.82E-07,1.82E-07,19.979
52.579,1.82E-07,1.82E-07,10.718
52.844,1.88E-07,1.88E-07,10.349
53.11,1.88E-07,1.88E-07,10.663
53.36,1.97E-07,1.97E-07,10.621
53.625,1.85E-07,1.85E-07,11.518
53.891,1.85E-07,1.85E-07,10.835
54.141,1.87E-07,1.87E-07,11.203
54.407,1.87E-07,1.87E-07,11.143
54.657,1.84E-07,1.84E-07,11.68
54.922,1.96E-07,1.96E-07,11.346
55.204,1.96E-07,1.96E-07,11.901
55.454,1.83E-07,1.83E-07,10.699
55.704,1.83E-07,1.83E-07,11.24
55.954,1.95E-07,1.95E-07,10.481
56.219,1.92E-07,1.92E-07,11.099
56.469,1.92E-07,1.92E-07,13.531
56.735,1.82E-07,1.82E-07,10.142
57,1.82E-07,1.82E-07,16.11
57.282,1.85E-07,1.85E-07,10.376
57.532,1.83E-07,1.83E-07,10.552
57.782,1.83E-07,1.83E-07,10.567
58.016,1.90E-07,1.90E-07,10.196
58.297,1.84E-07,1.84E-07,13.074
58.547,1.84E-07,1.84E-07,11.161
58.797,1.94E-07,1.94E-07,10.257
59.063,1.94E-07,1.94E-07,10.881
59.329,1.88E-07,1.88E-07,11.178
59.579,1.88E-07,1.88E-07,11.387
59.844,1.88E-07,1.88E-07,11.101
60.094,1.85E-07,1.85E-07,11.215
60.36,1.85E-07,1.85E-07,10.308
60.625,1.89E-07,1.89E-07,10.825
60.891,2.00E-07,2.00E-07,11.244
61.157,2.00E-07,2.00E-07,10.085
61.407,1.85E-07,1.85E-07,11.155
61.657,1.85E-07,1.85E-07,10.573
61.922,1.79E-07,1.79E-07,10.212
62.172,1.88E-07,1.88E-07,10.727
62.454,1.88E-07,1.88E-07,10.827
62.704,1.91E-07,1.91E-07,11.384
62.954,1.91E-07,1.91E-07,10.442
63.204,1.80E-07,1.80E-07,10.514
63.454,1.90E-07,1.90E-07,11.744
63.719,1.90E-07,1.90E-07,12.382
63.969,1.82E-07,1.82E-07,10.763
64.235,1.82E-07,1.82E-07,11.071
64.5,1.89E-07,1.89E-07,10.415
64.75,1.96E-07,1.96E-07,10.285
65.016,1.96E-07,1.96E-07,10.615
65.266,1.92E-07,1.92E-07,10.239
65.516,1.92E-07,1.92E-07,10.305
65.782,1.79E-07,1.79E-07,10.483
66.047,1.89E-07,1.89E-07,10.931
66.297,1.89E-07,1.89E-07,10.353
66.563,1.99E-07,1.99E-07,10.217
66.813,1.96E-07,1.96E-07,10.738
67.079,1.96E-07,1.96E-07,11.238
67.36,1.97E-07,1.97E-07,10.43
67.61,1.97E-07,1.97E-07,10.83
67.86,1.94E-07,1.94E-07,10.574
68.11,1.89E-07,1.89E-07,11.822
68.36,1.89E-07,1.89E-07,10.843
68.61,1.92E-07,1.92E-07,10.818
68.86,1.92E-07,1.92E-07,10.621
69.11,1.86E-07,1.86E-07,10.805
69.36,1.86E-07,1.86E-07,17.555
69.61,2.03E-07,2.03E-07,11.033
69.86,1.92E-07,1.92E-07,10.137
70.11,1.92E-07,1.92E-07,11.754
70.36,1.73E-07,1.73E-07,11.012
70.61,1.73E-07,1.73E-07,10.475
70.86,1.84E-07,1.84E-07,10.532
71.11,1.90E-07,1.90E-07,10.659
71.391,1.90E-07,1.90E-07,12.371
71.625,2.01E-07,2.01E-07,9.877
71.907,2.01E-07,2.01E-07,10.536
72.157,1.80E-07,1.80E-07,10.807
72.407,1.92E-07,1.92E-07,10.569
72.657,1.92E-07,1.92E-07,10.481
72.907,1.83E-07,1.83E-07,10.755
73.157,1.83E-07,1.83E-07,10.864
73.422,1.83E-07,1.83E-07,11.2
73.672,1.82E-07,1.82E-07,10.558
73.938,1.82E-07,1.82E-07,12.718
74.188,1.91E-07,1.91E-07,10.813
74.454,1.91E-07,1.91E-07,11.212
74.704,1.78E-07,1.78E-07,10.237
74.969,2.02E-07,2.02E-07,10.767
75.219,2.02E-07,2.02E-07,11.892
75.469,1.82E-07,1.82E-07,11.173
75.719,1.82E-07,1.82E-07,10.981
75.985,1.92E-07,1.92E-07,11.247
76.235,1.89E-07,1.89E-07,10.753
76.485,1.89E-07,1.89E-07,11.308
76.735,1.77E-07,1.77E-07,10.167
76.985,1.77E-07,1.77E-07,10.407
77.235,1.94E-07,1.94E-07,10.7
77.516,1.85E-07,1.85E-07,10.283
77.766,1.85E-07,1.85E-07,10.313
78.016,1.83E-07,1.83E-07,10.748
78.266,1.83E-07,1.83E-07,10.668
78.516,1.77E-07,1.77E-07,11.093
78.782,1.75E-07,1.75E-07,11.315
79.032,1.75E-07,1.75E-07,11.039
79.282,1.86E-07,1.86E-07,10.619
79.547,1.86E-07,1.86E-07,10.725
79.797,1.91E-07,1.91E-07,10.974
80.047,1.89E-07,1.89E-07,11.059
80.313,1.89E-07,1.89E-07,11.034
80.563,1.84E-07,1.84E-07,11.488
80.829,1.84E-07,1.84E-07,10.107
81.094,1.91E-07,1.91E-07,10.807
81.344,1.91E-07,1.91E-07,10.497
81.594,1.91E-07,1.91E-07,10.335
81.844,1.88E-07,1.88E-07,10.418
82.11,1.88E-07,1.88E-07,11.167
82.36,2.00E-07,2.00E-07,10.796
82.625,1.90E-07,1.90E-07,11.347
82.875,1.90E-07,1.90E-07,11.865
83.141,1.89E-07,1.89E-07,10.065
83.391,1.89E-07,1.89E-07,10.272
83.657,1.77E-07,1.77E-07,10.411
83.907,1.90E-07,1.90E-07,9.984
84.188,1.90E-07,1.90E-07,10.476
84.438,1.91E-07,1.91E-07,10.464
84.704,1.97E-07,1.97E-07,10.417
84.954,1.97E-07,1.97E-07,11.151
85.219,1.86E-07,1.86E-07,11.876
85.485,1.86E-07,1.86E-07,10.982
85.735,1.94E-07,1.94E-07,10.806
86,1.74E-07,1.74E-07,11.632
86.25,1.74E-07,1.74E-07,11.169
86.516,1.92E-07,1.92E-07,11.957
86.782,1.92E-07,1.92E-07,10.437
87.032,1.93E-07,1.93E-07,11.705
87.297,1.86E-07,1.86E-07,11.255
87.563,1.86E-07,1.86E-07,13.575
87.829,1.83E-07,1.83E-07,10.117
88.11,1.83E-07,1.83E-07,15.737
88.36,1.88E-07,1.88E-07,10.243
88.61,1.89E-07,1.89E-07,10.146
88.86,1.89E-07,1.89E-07,11.138
89.11,1.91E-07,1.91E-07,10.903
89.391,1.80E-07,1.80E-07,21.264
89.625,1.80E-07,1.80E-07,10.389
89.875,1.87E-07,1.87E-07,10.409
90.125,1.87E-07,1.87E-07,12.076
90.375,1.93E-07,1.93E-07,11.176
90.625,1.93E-07,1.93E-07,11.471
90.891,1.82E-07,1.82E-07,10.113
91.141,1.87E-07,1.87E-07,10.36
91.407,1.87E-07,1.87E-07,11.076
91.672,1.85E-07,1.85E-07,10.875
91.938,1.93E-07,1.93E-07,14.019
92.188,1.93E-07,1.93E-07,10.558
92.454,1.83E-07,1.83E-07,10.364
92.719,1.83E-07,1.83E-07,11.403
92.969,1.85E-07,1.85E-07,10.934
93.235,1.97E-07,1.97E-07,10.395
93.485,1.97E-07,1.97E-07,11.101
93.75,1.91E-07,1.91E-07,10.578
94.032,1.91E-07,1.91E-07,10.076
94.282,1.83E-07,1.83E-07,10.768
94.532,1.93E-07,1.93E-07,11.692
94.782,1.93E-07,1.93E-07,10.494
95.032,2.00E-07,2.00E-07,11.928
95.297,2.00E-07,2.00E-07,11.643
95.563,1.89E-07,1.89E-07,10.694
95.813,1.92E-07,1.92E-07,10.745
96.079,1.92E-07,1.92E-07,13.229
96.329,1.83E-07,1.83E-07,10.167
96.594,1.83E-07,1.83E-07,10.767
96.844,1.78E-07,1.78E-07,11.451
97.11,1.83E-07,1.83E-07,10.802
97.375,1.83E-07,1.83E-07,10.476
97.625,1.96E-07,1.96E-07,10.405
97.891,1.97E-07,1.97E-07,19.743
98.172,1.97E-07,1.97E-07,11.073
98.422,1.95E-07,1.95E-07,11.519
98.672,1.95E-07,1.95E-07,11.237
98.922,2.07E-07,2.07E-07,11.06
99.188,2.14E-07,2.14E-07,10.161
99.454,2.14E-07,2.14E-07,10.673
99.704,1.91E-07,1.91E-07,10.863
99.969,1.91E-07,1.91E-07,10.597
100.235,2.05E-07,2.05E-07,10.878
100.485,2.06E-07,2.06E-07,10.13
100.75,2.06E-07,2.06E-07,10.248
101,2.03E-07,2.03E-07,10.58
101.266,2.03E-07,2.03E-07,10.424
101.516,2.02E-07,2.02E-07,10.254
101.782,2.00E-07,2.00E-07,10.81
102.047,2.00E-07,2.00E-07,10.265
102.297,1.78E-07,1.78E-07,10.78
102.563,1.78E-07,1.78E-07,15.706
102.813,2.03E-07,2.03E-07,10.183
103.079,1.95E-07,1.95E-07,10.943
103.344,1.95E-07,1.95E-07,11.656
103.61,2.00E-07,2.00E-07,11.423
103.86,2.00E-07,2.00E-07,11.416
104.141,2.00E-07,2.00E-07,10.549
104.391,1.99E-07,1.99E-07,11.307
104.641,1.99E-07,1.99E-07,11.303
104.891,2.05E-07,2.05E-07,10.871
105.157,2.04E-07,2.04E-07,11.073
105.407,2.04E-07,2.04E-07,10.928
105.672,1.96E-07,1.96E-07,11.002
105.938,1.96E-07,1.96E-07,10.882
106.188,2.12E-07,2.12E-07,10.037
106.469,1.96E-07,1.96E-07,10.621
106.719,1.96E-07,1.96E-07,11.323
106.969,2.12E-07,2.12E-07,10.992
107.25,2.12E-07,2.12E-07,15.496
107.5,1.91E-07,1.91E-07,10.632
107.75,1.99E-07,1.99E-07,11.19
108,1.99E-07,1.99E-07,11.094
108.25,1.83E-07,1.83E-07,10.529
108.5,1.83E-07,1.83E-07,11.028
108.75,2.25E-07,2.25E-07,11.039
109.016,1.95E-07,1.95E-07,10.609
109.282,1.95E-07,1.95E-07,10.509
109.516,1.90E-07,1.90E-07,10.219
109.797,1.90E-07,1.90E-07,16.136
110.047,1.94E-07,1.94E-07,11.089
110.297,1.88E-07,1.88E-07,11.021
110.547,1.88E-07,1.88E-07,11.321
110.813,1.82E-07,1.82E-07,11.522
111.079,1.92E-07,1.92E-07,20.417
111.344,1.92E-07,1.92E-07,10.957
111.594,1.91E-07,1.91E-07,10.829
111.86,1.91E-07,1.91E-07,10.522
112.11,1.99E-07,1.99E-07,10.018
112.375,1.88E-07,1.88E-07,10.456
112.625,1.88E-07,1.88E-07,10.292
112.891,1.85E-07,1.85E-07,10.934
113.157,1.85E-07,1.85E-07,11.157
113.407,1.84E-07,1.84E-07,12.491
113.672,1.92E-07,1.92E-07,10.634
113.938,1.92E-07,1.92E-07,10.042
114.204,1.80E-07,1.80E-07,10.469
114.454,1.80E-07,1.80E-07,11.083
114.704,1.94E-07,1.94E-07,10.61
114.954,1.78E-07,1.78E-07,10.061
115.204,1.78E-07,1.78E-07,11.218
115.454,1.79E-07,1.79E-07,10.727
115.704,1.79E-07,1.79E-07,11.554
115.954,1.91E-07,1.91E-07,10.495
116.219,1.88E-07,1.88E-07,10.578
116.469,1.88E-07,1.88E-07,11.023
116.719,1.80E-07,1.80E-07,11.16
116.985,1.80E-07,1.80E-07,11.142
117.235,1.73E-07,1.73E-07,10.845
117.485,1.82E-07,1.82E-07,10.097
117.766,1.82E-07,1.82E-07,10.872
118.016,1.85E-07,1.85E-07,10.5
118.266,1.85E-07,1.85E-07,10.672
118.532,1.78E-07,1.78E-07,10.712
118.782,1.79E-07,1.79E-07,10.237
119.047,1.79E-07,1.79E-07,11.998
119.297,1.67E-07,1.67E-07,11.42
119.563,1.67E-07,1.67E-07,10.724
119.829,1.63E-07,1.63E-07,10.255
120.079,1.80E-07,1.80E-07,11.148
120.344,1.80E-07,1.80E-07,10.025
120.61,1.75E-07,1.75E-07,10.393
120.86,1.70E-07,1.70E-07,20.096
121.141,1.70E-07,1.70E-07,10.622
121.391,1.71E-07,1.71E-07,11.96
121.641,1.71E-07,1.71E-07,11.079
121.907,1.79E-07,1.79E-07,10.751
122.157,1.59E-07,1.59E-07,10.65
122.438,1.59E-07,1.59E-07,10.451
122.688,1.68E-07,1.68E-07,10.435
122.938,1.68E-07,1.68E-07,10.681
123.188,1.68E-07,1.68E-07,11.309
123.454,1.80E-07,1.80E-07,10.442
123.719,1.80E-07,1.80E-07,10.162
123.969,1.78E-07,1.78E-07,10.879
124.235,1.78E-07,1.78E-07,11.093
124.5,1.65E-07,1.65E-07,10.998
124.75,1.69E-07,1.69E-07,10.635
125.016,1.69E-07,1.69E-07,10.23
125.282,1.68E-07,1.68E-07,10.732
125.532,1.68E-07,1.68E-07,16.327
125.813,1.66E-07,1.66E-07,10.784
126.047,1.66E-07,1.66E-07,10.06
126.329,1.66E-07,1.66E-07,11.535
126.579,1.68E-07,1.68E-07,10.558
126.829,1.61E-07,1.61E-07,11.059
127.094,1.61E-07,1.61E-07,10.949
127.344,1.63E-07,1.63E-07,10.827
127.61,1.63E-07,1.63E-07,9.947
127.875,1.58E-07,1.58E-07,10.932
128.125,1.63E-07,1.63E-07,10.672
128.391,1.63E-07,1.63E-07,11.252
128.657,1.49E-07,1.49E-07,10.564
128.907,1.49E-07,1.49E-07,10.189
129.157,1.70E-07,1.70E-07,10.02
129.438,1.48E-07,1.48E-07,9.97
129.688,1.48E-07,1.48E-07,11.909
129.954,1.60E-07,1.60E-07,11.204
130.204,1.60E-07,1.60E-07,10.235
130.469,1.59E-07,1.59E-07,11.005
130.719,1.52E-07,1.52E-07,10.551
130.969,1.52E-07,1.52E-07,12.208
131.235,1.46E-07,1.46E-07,10.382
131.485,1.46E-07,1.46E-07,11.732
131.75,1.56E-07,1.56E-07,10.799
132,1.61E-07,1.61E-07,11.319
132.266,1.61E-07,1.61E-07,10.893
132.532,1.46E-07,1.46E-07,11.168
132.782,1.41E-07,1.41E-07,19.699
133.063,1.41E-07,1.41E-07,10.654
133.313,1.40E-07,1.40E-07,10.586
133.563,1.40E-07,1.40E-07,10.499
133.813,1.46E-07,1.46E-07,10.438
134.063,1.41E-07,1.41E-07,10.244
134.329,1.41E-07,1.41E-07,11.136
134.594,1.43E-07,1.43E-07,11.132
134.844,1.43E-07,1.43E-07,10.986
135.094,1.39E-07,1.39E-07,10.803
135.36,1.54E-07,1.54E-07,10.584
135.625,1.54E-07,1.54E-07,10.428
135.875,1.55E-07,1.55E-07,10.433
136.141,1.55E-07,1.55E-07,11.015
136.407,1.50E-07,1.50E-07,10.499
136.672,1.34E-07,1.34E-07,10.617
136.907,1.34E-07,1.34E-07,10.084
137.188,1.32E-07,1.32E-07,11.086
137.438,1.32E-07,1.32E-07,10.488
137.704,1.57E-07,1.57E-07,10.258
137.969,1.38E-07,1.38E-07,10.461
138.219,1.38E-07,1.38E-07,10.414
138.485,1.47E-07,1.47E-07,10.526
138.735,1.47E-07,1.47E-07,15.337
139,1.40E-07,1.40E-07,10.248
139.282,1.34E-07,1.34E-07,11.68
139.532,1.34E-07,1.34E-07,10.509
139.782,1.32E-07,1.32E-07,10.253
140.032,1.35E-07,1.35E-07,10.448
140.282,1.35E-07,1.35E-07,11.723
140.547,1.21E-07,1.21E-07,12.065
140.813,1.21E-07,1.21E-07,10.24
141.063,1.15E-07,1.15E-07,10.443
141.329,1.31E-07,1.31E-07,10.375
141.579,1.31E-07,1.31E-07,10.749
141.844,1.24E-07,1.24E-07,10.593
142.094,1.24E-07,1.24E-07,11.116
142.375,1.30E-07,1.30E-07,10.726
142.625,1.43E-07,1.43E-07,10.495
142.875,1.43E-07,1.43E-07,10.129
143.125,1.40E-07,1.40E-07,11.204
143.375,1.40E-07,1.40E-07,10.593
143.625,1.35E-07,1.35E-07,10.942
143.891,1.41E-07,1.41E-07,11.352
144.157,1.41E-07,1.41E-07,10.794
144.407,1.22E-07,1.22E-07,9.985
144.672,1.22E-07,1.22E-07,11.166
144.922,1.36E-07,1.36E-07,10.237
145.172,1.10E-07,1.10E-07,10.868
145.438,1.10E-07,1.10E-07,12.064
145.704,1.17E-07,1.17E-07,10.784
145.954,1.17E-07,1.17E-07,11.037
146.219,1.30E-07,1.30E-07,10.915
146.485,1.34E-07,1.34E-07,11.306
146.75,1.34E-07,1.34E-07,10.381
147.016,1.26E-07,1.26E-07,10.467
147.266,1.37E-07,1.37E-07,11.456
147.516,1.37E-07,1.37E-07,10.089
147.782,1.20E-07,1.20E-07,11.76
148.032,1.20E-07,1.20E-07,11.415
148.297,1.21E-07,1.21E-07,10.886
148.547,1.26E-07,1.26E-07,10.789
148.813,1.26E-07,1.26E-07,11.154
149.079,1.31E-07,1.31E-07,10.231
149.329,1.31E-07,1.31E-07,10.807
149.594,1.33E-07,1.33E-07,11.131
149.86,1.30E-07,1.30E-07,10.585
150.125,1.30E-07,1.30E-07,13.229
150.375,1.31E-07,1.31E-07,11.257
150.641,1.31E-07,1.31E-07,10.49
150.907,1.18E-07,1.18E-07,11.061
